,0
0,9927
1,10678
2,10312
3,11333
4,10749
5,8881
6,9523
7,11318
8,9746
9,11316
10,10083
11,8826
12,10401
13,9090
14,8809
15,8077
16,10829
17,9552
18,8675
19,10110
20,9826
21,9221
22,9696
23,11483
24,10813
25,10510
26,10862
27,8865
28,10539
29,10788
30,10180
31,11563
32,8716
33,8389
34,7151
35,9952
36,10679
37,10265
38,5524
39,11003
40,11807
41,10499
42,11725
43,7946
44,11235
45,8714
46,11055
47,11063
48,9788
49,9704
50,9510
51,8112
52,9767
53,7551
54,8948
55,9722
56,10780
57,10355
58,8283
59,10994
60,9973
61,10394
62,11139
63,8896
64,10787
65,10627
66,9965
67,7957
68,9970
69,11941
70,11388
71,10090
72,8892
73,9287
74,10724
75,11264
76,8583
77,11496
78,8988
79,11408
80,9963
81,10571
82,10961
83,9696
84,9564
85,5807
86,11358
87,8279
88,8556
89,10078
90,11653
91,9114
92,7024
93,10953
94,11033
95,8136
96,8730
97,11183
98,11155
99,8204
100,11602
101,10562
102,11258
103,11259
104,10687
105,9577
106,10949
107,11358
108,6868
109,10904
110,10664
111,7726
112,10017
113,11544
114,10947
115,10057
116,10775
117,9152
118,10914
119,11148
120,11516
121,9653
122,11619
123,7380
124,11745
125,8482
126,11323
127,8947
128,10991
129,11764
130,10281
131,10331
132,10505
133,10982
134,10837
135,8917
136,11116
137,11315
138,11646
139,11744
140,7833
141,9240
142,10673
143,11820
144,8287
145,11285
146,9514
147,10846
148,8152
149,7269
150,8706
151,10119
152,7446
153,11366
154,10349
155,10491
156,10754
157,10764
158,10982
159,8036
160,10196
161,10504
162,11852
163,8268
164,9108
165,11572
166,11535
167,10484
168,11205
169,10212
170,9616
171,9349
172,11089
173,7098
174,9981
175,8865
176,8913
177,9098
178,6210
179,9816
180,9539
181,10306
182,7990
183,9839
184,11791
185,11087
186,11754
187,11895
188,8769
189,11073
190,10596
191,9177
192,11515
193,11055
194,8736
195,11052
196,10611
197,10459
198,8659
199,9951
200,11369
201,8246
202,11606
203,11589
204,9373
205,9307
206,10839
207,9258
208,11426
209,9619
210,10223
211,9881
212,9461
213,10249
214,8466
215,11605
216,11407
217,11466
218,10657
219,11522
220,11584
221,11748
222,9538
223,9129
224,11549
225,11049
226,6789
227,10109
228,9207
229,10382
230,10485
231,9958
232,9190
233,11429
234,11019
235,11359
236,10898
237,10346
238,11567
239,11793
240,8352
241,8695
242,11187
243,10881
244,9215
245,7676
246,10008
247,11830
248,8275
249,11533
250,9968
251,8922
252,11153
253,10656
254,9739
255,11107
256,11262
257,7574
258,10275
259,7357
260,10218
261,11213
262,10657
263,7570
264,10752
265,10381
266,11950
267,10687
268,9498
269,10897
270,10806
271,8651
272,10557
273,10874
274,5816
275,8728
276,11151
277,10479
278,10501
279,8181
280,7311
281,9544
282,11660
283,10083
284,9277
285,11420
286,8434
287,11248
288,10247
289,9816
290,8498
291,10856
292,10884
293,9033
294,11715
295,8733
296,11819
297,10726
298,10460
299,9152
300,8674
301,9687
302,11872
303,11361
304,10768
305,11106
306,11214
307,11664
308,10986
309,9200
310,8727
311,9189
312,11913
313,6669
314,7057
315,8290
316,11798
317,10950
318,8283
319,10194
320,9451
321,7487
322,11235
323,10147
324,8499
325,7324
326,6721
327,8842
328,8587
329,11476
330,8928
331,11551
332,10019
333,10882
334,10369
335,9232
336,11384
337,10970
338,9011
339,11303
340,10965
341,10321
342,8838
343,11233
344,9956
345,11932
346,11097
347,10721
348,10634
349,10132
350,8202
351,10801
352,9317
353,11233
354,10529
355,10972
356,11568
357,7902
358,10778
359,10743
360,9480
361,11113
362,11306
363,10664
364,11167
365,10647
366,10128
367,9786
368,9092
369,11606
370,11872
371,11337
372,10412
373,10629
374,11897
375,8190
376,10556
377,8451
378,9565
379,11830
380,10255
381,11280
382,11897
383,11561
384,11560
385,10891
386,9656
387,9064
388,10669
389,11117
390,8933
391,10870
392,9407
393,9650
394,11586
395,11634
396,9250
397,6843
398,9489
399,11237
400,10376
401,11559
402,10707
403,11595
404,9631
405,10742
406,9596
407,8819
408,8960
409,9796
410,8969
411,10336
412,11225
413,7792
414,11379
415,6082
416,10793
417,7193
418,9029
419,10259
420,9443
421,9841
422,8394
423,8843
424,11309
425,7773
426,11324
427,11060
428,9108
429,8467
430,9855
431,10952
432,6306
433,10516
434,7725
435,11493
436,11406
437,11023
438,11777
439,11298
440,11532
441,11606
442,7127
443,8845
444,8912
445,8377
446,11165
447,11287
448,9670
449,9289
450,10552
451,10844
452,8284
453,11208
454,11021
455,11763
456,8953
457,11562
458,9337
459,10633
460,7717
461,11710
462,9796
463,11814
464,11576
465,10609
466,11352
467,10732
468,9220
469,9624
470,11284
471,11439
472,11628
473,11245
474,11559
475,10797
476,8760
477,11250
478,10717
479,9658
480,10510
481,9906
482,9620
483,8767
484,11213
485,10684
486,10843
487,10925
488,9528
489,11482
490,11817
491,9453
492,9525
493,11139
494,8406
495,10092
496,10935
497,11305
498,11413
499,10877
500,10192
501,8180
502,11869
503,9840
504,11900
505,11478
506,10994
507,10609
508,10236
509,9405
510,10310
511,8459
512,10936
513,9281
514,11110
515,8089
516,11022
517,11757
518,11622
519,11437
520,11108
521,9735
522,11493
523,11485
524,9020
525,10359
526,10515
527,10945
528,11367
529,11839
530,9513
531,10092
532,7276
533,10829
534,10636
535,10174
536,11379
537,9485
538,11548
539,9520
540,10504
541,6746
542,7824
543,6070
544,11172
545,11287
546,6701
547,8967
548,11781
549,7250
550,11156
551,9768
552,10184
553,11278
554,9325
555,8502
556,10263
557,11049
558,11823
559,10527
560,11197
561,9975
562,10520
563,9206
564,10978
565,9434
566,11210
567,8194
568,11357
569,10773
570,10843
571,11379
572,11445
573,10820
574,10981
575,11530
576,11239
577,8141
578,10759
579,10102
580,7707
581,10389
582,11703
583,8571
584,9193
585,11019
586,9747
587,11321
588,10653
589,11274
590,11306
591,10258
592,9445
593,11814
594,11762
595,9696
596,11247
597,9205
598,9810
599,9933
600,11278
601,9587
602,10244
603,11737
604,11565
605,10450
606,8490
607,10523
608,10338
609,10898
610,11403
611,10351
612,10006
613,11512
614,10780
615,9530
616,11578
617,10917
618,11213
619,11945
620,11893
621,11695
622,8889
623,9220
624,8361
625,11075
626,11561
627,10600
628,10316
629,11639
630,9524
631,10105
632,11058
633,11261
634,11529
635,8333
636,9699
637,11532
638,11604
639,9960
640,11771
641,10668
642,11232
643,9297
644,11883
645,11738
646,11085
647,9828
648,10930
649,11004
650,8767
651,9074
652,10426
653,5981
654,9099
655,9626
656,11837
657,9737
658,7838
659,8164
660,7122
661,11659
662,11858
663,11636
664,10881
665,11571
666,8725
667,10094
668,11332
669,10908
670,8941
671,10747
672,10834
673,10954
674,9096
675,10808
676,11560
677,10662
678,6139
679,10598
680,11675
681,7509
682,6627
683,10907
684,10645
685,10422
686,9240
687,10041
688,8753
689,10464
690,11714
691,9909
692,11168
693,6042
694,10165
695,11857
696,7380
697,11229
698,7411
699,10787
700,10529
701,11704
702,11672
703,11619
704,11225
705,5588
706,11696
707,9802
708,11411
709,11000
710,9071
711,11303
712,11299
713,11078
714,9120
715,6654
716,9720
717,8447
718,8858
719,9504
720,10396
721,9090
722,9562
723,7380
724,8752
725,10106
726,10210
727,5733
728,9698
729,10905
730,11125
731,11609
732,9092
733,6387
734,7951
735,11118
736,8500
737,9225
738,8520
739,6527
740,10298
741,9606
742,11372
743,11445
744,11375
745,8150
746,11302
747,10588
748,9892
749,8568
750,9832
751,7094
752,6360
753,9225
754,7231
755,10781
756,10765
757,11632
758,10754
759,10921
760,8551
761,9713
762,11056
763,9605
764,7906
765,10491
766,7132
767,7253
768,11120
769,11259
770,9562
771,9080
772,7420
773,9895
774,9207
775,9565
776,10511
777,11169
778,9066
779,5130
780,11606
781,8983
782,6343
783,10051
784,9527
785,10160
786,11513
787,7810
788,11253
789,10740
790,11249
791,9306
792,8013
793,11094
794,7975
795,11694
796,6691
797,10776
798,9327
799,8838
800,11115
801,10048
802,8023
803,8919
804,7945
805,9495
806,11566
807,8786
808,6315
809,9446
810,7768
811,11684
812,7738
813,10321
814,9977
815,11616
816,8667
817,6765
818,11257
819,10486
820,11736
821,7652
822,11824
823,11281
824,10379
825,8782
826,7094
827,10516
828,10985
829,9175
830,9685
831,7202
832,11383
833,11087
834,9250
835,7421
836,8290
837,11191
838,11702
839,9473
840,7315
841,9668
842,6610
843,11511
844,10865
845,9042
846,11456
847,9058
848,10587
849,11162
850,10008
851,5867
852,9890
853,8176
854,7425
855,9516
856,9599
857,11600
858,10708
859,9798
860,10051
861,11373
862,11168
863,6991
864,10666
865,11168
866,8342
867,9420
868,10196
869,11002
870,10688
871,11124
872,11194
873,8903
874,8280
875,9317
876,7003
877,7079
878,7339
879,11684
880,10455
881,5951
882,10306
883,11814
884,11380
885,10619
886,9902
887,9695
888,7852
889,11528
890,8795
891,10603
892,8410
893,9215
894,11346
895,11543
896,8785
897,7622
898,10517
899,10716
900,11386
901,11909
902,11525
903,11428
904,8605
905,11430
906,11723
907,10713
908,10193
909,5952
910,5803
911,10300
912,11820
913,10565
914,11052
915,8623
916,11356
917,11631
918,9008
919,10849
920,8679
921,9192
922,10493
923,7707
924,9370
925,7099
926,7672
927,7224
928,10314
929,9399
930,11663
931,5204
932,11674
933,11276
934,10603
935,11354
936,9957
937,6989
938,8549
939,9764
940,11228
941,7348
942,8013
943,10555
944,11788
945,10783
946,6922
947,10359
948,11191
949,7271
950,8998
951,10599
952,10190
953,10360
954,7883
955,9443
956,10072
957,9382
958,11162
959,6896
960,10561
961,10114
962,11284
963,9773
964,11399
965,10292
966,5384
967,11955
968,10075
969,9681
970,10069
971,7810
972,8853
973,9799
974,10531
975,7551
976,10084
977,10385
978,10645
979,10357
980,9160
981,7687
982,11429
983,10655
984,10691
985,11378
986,10759
987,11812
988,5210
989,10041
990,9061
991,9017
992,11330
993,11229
994,5955
995,9870
996,7712
997,11283
998,8441
999,7820
1000,11427
1001,7146
1002,7810
1003,11564
1004,11707
1005,10630
1006,8679
1007,11079
1008,11760
1009,7865
1010,11126
1011,11119
1012,10249
1013,11112
1014,10754
1015,11854
1016,10702
1017,6782
1018,10033
1019,11627
1020,9101
1021,10902
1022,9321
1023,8724
1024,10189
1025,11665
1026,11604
1027,10370
1028,11545
1029,9094
1030,11224
1031,11821
1032,10278
1033,9521
1034,11393
1035,11177
1036,9858
1037,7638
1038,7723
1039,11534
1040,10460
1041,11409
1042,11476
1043,10856
1044,11832
1045,9077
1046,10117
1047,8481
1048,7638
1049,10485
1050,8783
1051,11146
1052,10658
1053,11680
1054,9668
1055,5210
1056,11539
1057,11717
1058,7098
1059,8287
1060,6418
1061,11098
1062,11021
1063,7638
1064,10299
1065,10239
1066,6351
1067,9406
1068,7446
1069,11077
1070,10592
1071,10438
1072,11085
1073,7277
1074,9764
1075,10399
1076,7720
1077,10983
1078,11697
1079,9735
1080,10001
1081,9553
1082,10434
1083,9880
1084,11071
1085,8275
1086,7674
1087,11594
1088,8880
1089,9482
1090,7253
1091,8843
1092,10011
1093,11497
1094,8820
1095,9506
1096,9211
1097,10655
1098,11507
1099,9522
1100,9133
1101,8986
1102,9743
1103,9504
1104,11076
1105,11809
1106,8616
1107,10898
1108,11607
1109,5210
1110,10081
1111,11307
1112,11438
1113,11615
1114,7810
1115,11705
1116,10596
1117,9466
1118,11525
1119,11394
1120,11078
1121,10721
1122,10205
1123,10045
1124,10127
1125,11179
1126,8458
1127,11341
1128,10262
1129,10327
1130,11261
1131,10983
1132,8202
1133,10315
1134,8007
1135,10401
1136,10082
1137,10277
1138,8695
1139,11510
1140,10483
1141,6919
1142,11198
1143,11447
1144,10891
1145,8785
1146,10589
1147,10060
1148,7810
1149,10847
1150,9853
1151,10374
1152,10959
1153,11121
1154,7810
1155,10743
1156,9427
1157,11013
1158,10602
1159,11899
1160,8772
1161,7975
1162,9365
1163,6061
1164,10303
1165,11105
1166,11486
1167,10493
1168,11053
1169,10760
1170,11111
1171,9797
1172,6238
1173,11369
1174,10918
1175,10013
1176,6042
1177,11011
1178,10549
1179,11083
1180,9924
1181,9737
1182,7792
1183,11491
1184,11305
1185,10537
1186,9534
1187,8248
1188,7398
1189,11182
1190,7381
1191,11643
1192,7195
1193,11140
1194,8286
1195,9372
1196,10350
1197,11375
1198,9814
1199,11430
1200,9080
1201,11267
1202,10327
1203,8939
1204,6343
1205,7625
1206,9805
1207,11095
1208,9645
1209,12000
1210,11234
1211,11617
1212,9175
1213,8542
1214,11001
1215,11810
1216,7781
1217,7743
1218,10023
1219,11070
1220,9287
1221,10391
1222,10326
1223,8461
1224,10605
1225,10863
1226,11609
1227,5795
1228,11223
1229,9954
1230,11267
1231,10706
1232,10194
1233,10924
1234,10717
1235,11701
1236,10224
1237,9630
1238,10597
1239,7732
1240,9972
1241,10341
1242,11650
1243,9474
1244,10554
1245,8502
1246,9011
1247,10482
1248,10777
1249,11340
1250,10738
1251,11392
1252,11585
1253,11805
1254,9359
1255,10729
1256,7972
1257,9764
1258,11565
1259,11380
1260,11597
1261,11465
1262,9105
1263,11678
1264,10973
1265,11269
1266,10566
1267,11763
1268,11017
1269,7876
1270,9025
1271,11309
1272,10524
1273,9004
1274,11156
1275,11314
1276,10409
1277,7810
1278,7222
1279,9398
1280,6565
1281,9764
1282,11572
1283,7810
1284,8837
1285,10616
1286,11243
1287,11470
1288,10507
1289,9064
1290,9126
1291,7810
1292,11115
1293,11799
1294,11811
1295,9124
1296,11625
1297,8922
1298,11705
1299,6089
1300,10503
1301,11519
1302,11392
1303,9644
1304,10324
1305,6536
1306,8690
1307,7810
1308,8321
1309,11803
1310,10733
1311,6822
1312,10446
1313,10406
1314,9972
1315,8379
1316,10838
1317,7202
1318,11251
1319,10266
1320,11268
1321,10113
1322,10977
1323,10972
1324,10485
1325,10362
1326,9975
1327,11223
1328,11536
1329,7494
1330,9415
1331,9549
1332,11751
1333,11634
1334,9321
1335,11381
1336,8235
1337,11250
1338,10276
1339,11150
1340,11539
1341,9004
