,0
0,11557
1,9666
2,11243
3,10697
4,8281
5,8996
6,11732
7,10488
8,10825
9,8912
10,8957
11,10319
12,11158
13,11645
14,10387
15,11100
16,11079
17,10294
18,10848
19,10513
20,9893
21,11209
22,8596
23,10011
24,10782
25,7598
26,10259
27,9476
28,9779
29,10718
30,10519
31,11690
32,10490
33,9395
34,11678
35,11201
36,10296
37,4910
38,10325
39,8389
40,10540
41,10016
42,10291
43,10189
44,11541
45,11793
46,11819
47,11321
48,10225
49,11406
50,11447
51,11078
52,8708
53,10558
54,9872
55,9639
56,11444
57,7298
58,10079
59,11450
60,9390
61,7428
62,10625
63,11264
64,11959
65,10709
66,9986
67,10252
68,9322
69,11485
70,10871
71,11388
72,10673
73,7069
74,11424
75,10435
76,11015
77,11261
78,9892
79,7950
80,11848
81,10658
82,8682
83,10455
84,9697
85,11878
86,11869
87,11405
88,11362
89,11412
90,11105
91,10595
92,10695
93,11494
94,7928
95,6569
96,11851
97,8946
98,11220
99,10482
100,10458
101,11602
102,11139
103,10830
104,10622
105,10266
106,11046
107,11887
108,10219
109,10835
110,11768
111,10185
112,11759
113,11343
114,9997
115,10974
116,10448
117,8395
118,11411
119,10801
120,11358
121,9465
122,11017
123,10687
124,11355
125,11248
126,9304
127,10271
128,10875
129,9978
130,10042
131,11201
132,11394
133,9827
134,10595
135,10385
136,11066
137,10806
138,10690
139,10359
140,11173
141,10484
142,8810
143,7044
144,11408
145,9856
146,11348
147,10944
148,10750
149,11138
150,11616
151,11333
152,8260
153,10540
154,11163
155,9398
156,11625
157,11569
158,10356
159,10049
160,8714
161,9017
162,11362
163,11684
164,8987
165,11591
166,8709
167,11663
168,10954
169,10992
170,11077
171,11234
172,8461
173,9961
174,8054
175,9580
176,10707
177,9065
178,7641
179,10306
180,10771
181,11363
182,8994
183,11733
184,7476
185,11158
186,11704
187,7068
188,8717
189,8823
190,11713
191,10740
192,11553
193,8438
194,10265
195,8640
196,10881
197,10270
198,11034
199,11295
200,10718
201,11339
202,11422
203,11568
204,10442
205,10340
206,8717
207,8456
208,11138
209,7199
210,7380
211,10095
212,11818
213,9529
214,11196
215,11503
216,8982
217,11625
218,11336
219,10267
220,10677
221,11783
222,10306
223,11187
224,11150
225,9892
226,7633
227,8013
228,11434
229,10180
230,10391
231,11034
232,11581
233,11516
234,11275
235,10716
236,10911
237,11113
238,9543
239,8423
240,11589
241,11950
242,9126
243,10525
244,11438
245,11753
246,9561
247,11088
248,8387
249,9955
250,10355
251,9401
